CompanyId,CompanyName,TickerSymbol,FinancesCurrency,Updated MarketCapitalizationInUsd,MarketCapitalization in Native Currency,Updated AnnualRevenueInUsd,Upaded FinancesCurrentAsOf,Peers,Original MarketCapitalizationInUsd,Original AnnualRevenueInUsd
1283,Empire Company Limited,EMP.A-CA,USD,3854.3960278301,3854.3960278301,16.591296612054,2019-04-25T00:00:00.000Z,"['L-CA', 'MRU-CA', 'ATD.B-CA', 'NWC-CA', 'WN-CA', 'CGX-CA', 'CO-CA', 'GCL-CA']",5020660880,
1288,Energizer,ENR-US,USD,3293.19329136,3293.19329136,42.74,2019-04-25T00:00:00.000Z,"['KMB-US', 'OGES-US', 'ULBI-US', 'FSTJ-US']",2470000000,1630000000
1302,Equatorial Palm Oil,PAL-GB,USD,3.5984027702,3.5984027702,0.0075,2019-04-25T00:00:00.000Z,"['AEP-GB', 'MPE-GB', 'DKL-GB', 'RPT-GB']",11119933.44,
1320,Estee Lauder Companies,EL-US,USD,37188.53368703,37188.53368703,121.47,2019-04-25T00:00:00.000Z,"['PG-US', 'AVP-US', 'REV-US', 'NUS-US', 'COTY-US', 'SSDOY-US', 'IPAR-US', 'UL-US']",31040000000,11260000000
1333,EUROCASH,EUR-PL,USD,828.47338055065,828.47338055065,4.3428571428571,2019-04-25T00:00:00.000Z,"['MSM-ZA', 'AMB-PL', 'NCT-PL', 'DUFN-CH', 'BIMAS-TR', 'DIA-ES']",1474141760,5009123840
1365,Facebook,FB-US,USD,464597.04,464597.04,123.02,2019-04-25T00:00:00.000Z,"['GOOGL-US', 'TWTR-US', 'MSFT-US', 'MEET-US', 'RENN-US', 'WB-US']",305530000000,17930000000
1404,Felda Global Ventures,FGV-MY,USD,1139.231336,1139.231336,0.15272727272727,2019-04-25T00:00:00.000Z,"['VOC-VN', 'FGV-MY', '1377-JP']",1795087560,3921633995
1421,Feronia,FRN-CA,USD,48.3716469,48.3716469,0.095,2019-04-25T00:00:00.000Z,"['VFF-CA', 'IGP-CA', 'FLAF-US', 'ANFI-US']",53824023.17,7/17/28909
1432,Fidelity National Information Services,FIS-US,USD,36062.74505445,36062.74505445,93.87,2019-04-25T00:00:00.000Z,"['GPN-US', 'FISV-US', 'MA-US', 'TSS-US', 'V-US', 'EEFT-US', 'ADS-US', 'ACIW-US', 'EVTC-US']",17820000000,12/30/1899
1444,First Pacific Company Limited,142-HK,USD,13686.5327886,13686.5327886,2.79,2019-04-25T00:00:00.000Z,"['INDF-ID', '345-HK', '1076-HK', '000716-CN']",3237872220,6763669560
1445,First Resources,EB5-SG,SGD,2930.53505,3994.780612044139,1.5,2019-04-25T00:00:00.000Z,"['P8Z-SG', 'E5H-SG', '5JS-SG', 'F34-SG']",,
1458,Fluor Corporation,FLR-US,USD,5566.17781764,5566.17781764,29.78,2019-04-25T00:00:00.000Z,"['KBR-US', 'JEC-US', 'ACM-US', 'TPC-US', 'MDR-US', 'PWR-US', 'MTZ-US']",6230000000,19040000000
1464,Fonterra,FCG-NZ,NZD,6963.80544,10531.20894146328,4.2,2019-04-25T00:00:00.000Z,"['SML-NZ', 'ATM-NZ', 'CGF-NZ', 'LIC-NZ']",6575025320,11263987600
1488,ForFarmers,FFARM-NL,USD,680.84764426112,680.84764426112,6.4383070301291,2019-04-25T00:00:00.000Z,"['SNFC-EG', 'SCHO-DK', 'VZAS-RS', 'WALG-GB']",786746150.2,2437915095
1530,FUJITSU,6702-JP,JPY,1631613.584152,180848463.4349861,6330.0,2019-04-25T00:00:00.000Z,"['6971-JP', '6501-JP', '6758-JP', '6752-JP']",17464590,39991380
1586,General Mills,GIS-US,USD,30071.26799982,30071.26799982,36.42,2019-04-25T00:00:00.000Z,"['K-US', 'MDLZ-US', 'THS-US', 'SJM-US', 'HAIN-US', 'CAG-US', 'POST-US']",34840000000,16560000000
1588,GENERIX,GENX-FR,USD,88.89035466284,88.89035466284,2.6183644189383,2019-04-25T00:00:00.000Z,"['PROL-FR', 'QTE-FR', 'CAS-FR', 'ITE-FR', 'LIN-FR', 'TES-FR']",69727629.51,12/30/1899
1621,Givaudan,GIVN-CH,USD,23544.522591395,23544.522591395,2127.805547388,2019-04-25T00:00:00.000Z,"['CBE-FR', 'TET-GB', 'MLPFX-FR', 'ALPHY-FR']",19707773100,5011291750
1645,Godrej Consumer Products,GODREJCP-IN,INR,665327.9118864,46180553.54113794,634.0,2019-04-25T00:00:00.000Z,"['JYOTHYLA-IN', 'KOHINOOR-BD', 'JOCIL-IN', 'JHS-IN']",8488969720,1330682480
1647,Godrej Industries,GODREJIN-IN,INR,171774.67700855,11922917.296696043,434.5,2019-04-25T00:00:00.000Z,"['AMANFEED-BD', 'AJOONI-IN', 'AVANTIFE-IN', 'CPF-F-TH']",2603270180,1567519000
1648,Golden Agri-Resources,GODREJAG-IN,USD,1441.2544674768,1441.2544674768,6.576125804146,2019-04-25T00:00:00.000Z,"['AMANFEED-BD', 'AJOONI-IN', 'AVANTIFE-IN', 'CPF-F-TH']",5010000000,9950000000
1649,Golden Plantation TBK,GOLL-ID,USD,13089.288425,13089.288425,3.5714285714285,2019-04-25T00:00:00.000Z,"['MRG-AU', 'SBAGAN-MY', 'SEK-NZ', 'TATACOFF-IN']",,
1687,Greencore Group plc,GNC-GB,USD,770.47735390263,770.47735390263,1.1841085271318,2019-04-25T00:00:00.000Z,"['PFD-GB', 'CWK-GB', 'ULVR-GB']",1829126390,1929944380
1789,h2o-retailing,8242-JP,JPY,177810.971789,19708613.20490612,1402.0,2019-04-25T00:00:00.000Z,"['8273-JP', '8237-JP', '8289-JP']",1570716290,7725676530
1797,Hain Celestial,HAIN-US,USD,2244.79253152,2244.79253152,14.45,2019-04-25T00:00:00.000Z,"['GIS-US', 'MDLZ-US', 'CPB-US', 'THS-US', 'SJM-US']",3900000000,2850000000
