,CompanyId,CompanySiteID,CompanyName,PostToWebsite,Visible,Researcher,Cohort,DateLastUpdated,RefreshSchedule,NextRefresh,RelevantParentCompany,RelevantSubsidiaryCompanies,AllAliases,FirstEightAliases,AllOtherAliases,CompanyWebsite,Majorcompanybrands,HeadquarterCountry,PublicOrPrivate,TickerSymbol,Sector,Industry,MarketCapitalizationDisclosed,MarketCapitalization,AnnualRevenueDisclosed,AnnualRevenue,FinancesCurrency,MarketCapitalizationInUsd,AnnualRevenueInUsd,FinancesCurrentAsOf,TwitterHandle,SustainabilityReporting,SustainabilityCommodityReporting,CommodityReportedon,SustainabilityReportingYear,AcknowledgeDeforestationIssue,AcknowlDeforestationwithCommod,CDP2015_voluntaryoffsetbuyer,PromiseFuturDeforestationCommit,CommodityTypeofFutureCommit,GeneralCommitment,SoyCommitment,PalmCommitment,TimberPulpCommitment,CattleCommitment,TotalCommitments,DormantCommPresent,NumberOfAssessments,NumberOfRelatedActivities,CreatedAt,ModifiedAt,VoluntaryOffsets,Researcher_Other,UpdatedNotes
484,2812,165.0,News Corp,Yes,yes,Philip,2016.0,3/30/2017,9 Month,12/30/2017,,"Consumer Media Group, Enterprise Media Group, HarperCollins","Amplify, Dow Jones, Move, New York Post, News America Marketing, News Corporation, Storyful","Amplify,  Dow Jones,  Move,  New York Post,  News America Marketing,  News Corporation,  Storyful",,www.newscorp.com,,United States,Publicly traded,Nasdaq: NWS,Publishing,Media/Entertainment,,7650000000.0,,8750000000.0,USD,7650000000.0,8750000000.0,3/30/2017,newscorp,,,,,,,,,,,No,No,Yes,No,2.0,,4.0,1.0,,2/13/2019 5:22:08 PM,,,
522,3421,,Royal Ahold,No longer exists,,Jonathan,2016.0,3/14/2017,-,,,,"Bol.com, Etos, Gall & Gall, Giant Food Stores, J M R-Gestaode Empresasde Retalho, Martin's Food Markets, Peapod, SGPS.S.A., Stop & Shop","Bol.com,  Etos,  Gall & Gall,  Giant Food Stores,  J M R-Gestaode Empresasde Retalho,  Martin's Food Markets,  Peapod,  SGPS.S.A.",Stop & Shop,www.ahold.com,,Netherlands,Publicly traded,NL: AH,Food Retailers & Wholesalers,Business/Consumer Services,,16660000000.0,,32770000000.0,EUR,18091610460.0,35585958870.0,3/9/2016,,,,,,,,,,,,Former,Former,Former,No,0.0,,6.0,0.0,,2/13/2019 5:22:08 PM,,,
526,3425,190.0,Royal DSM,Yes,yes,Jonathan,2016.0,10/22/2018,9 Month,8/7/2017,,"Tortuga, DSM Nutritional Products, DSM Food Specialties",Koninklijke DSMNV,Koninklijke DSMNV,,www.dsm.com,,Netherlands,Publicly traded,NL: DSM,Specialty Chemicals,Basic Materials/Resources,,10090000000.0,,7720000000.0,EUR,10957043790.0,8383387320.0,11/7/2016,DSM,,,,,,,,,,,No,Yes,No,No,1.0,,2.0,4.0,,2/13/2019 5:22:08 PM,,,
527,3426,894.0,Royal Dutch Shell,yes,yes,Laura,2016.0,9/7/2018,6 Month,10/28/2017,,"Shell Oil Company, Raizen (Joint Venture)",Shell,Shell,,www.shell.com,,Netherlands,Public,RDSA,Integrated Oil & Gas,Oil & Gas,,237480000000.0,,236970000000.0,EUR - Euro,181502507340.0,187996374720.0,2017,Shell,,,,,,,,,,,Yes,Yes,No,No,2.0,,0.0,5.0,,2/13/2019 5:22:08 PM,,,"revenue, market cap, ticker, public/private"
535,3666,2565.0,Sinar Mas Agro Resources and Technology (SMART),Yes,yes,An,2016.0,10/22/2018,6 Month,7/21/2018,"Golden Agri-Resources, Sinar Mas Group",,"Filma, Kunci Mas, Sinar Mas Agro Resources & Technology","Filma,  Kunci Mas,  Sinar Mas Agro Resources & Technology",,www.smart-tbk.com,,Indonesia,Publicly traded,Jakarta: SMAR,Farming,Agriculture,,10910000000000.0,,35320000000000.0,IDR,715680000.0,2142000000.0,8/08/2018,,,,,,,,,,,,No,Yes,No,No,2.0,,1.0,2.0,,2/13/2019 5:22:08 PM,,,"Market cap, annual rev"
536,3667,,Sinar Mas Group,No - profiled under subsidiary,yes,Philip,2016.0,4/25/2017,12 Month,4/25/2018,Bank of Singapore ,"Golden Agri Resources (GAR), Asia Pulp & Paper (APP), PT SMART",Sinar Mas Multiartha,Sinar Mas Multiartha,,www.sinarmas.com/en,,Indonesia,Publicly traded,Jakarta: SMMA,Farming,Agriculture,,51100000000000.0,,27400000000000.0,IDR,3679200000.0,1972800000.0,4/25/2017,,,,,,,,,,,,No,No,Former,No,0.0,,2.0,1.0,,2/13/2019 5:22:08 PM,,,
566,4118,2788.0,Unicharm Corporation,Yes,Yes,Luke,2018.0,9/17/2018,9 Month,4/13/2018,,"PT. Unicharm Indonesia, Unicharm Thailand Co, Ltd., Unicharm Singapore Pte Ltd., Unicharm Malaysia Sdn Bhd, Unicharm Philippines, Inc., Unicharm India Pvt Ltd., Unicharm (MENA) Middle East & North Africa Hygienic Industries S.A.E, Diana Unicharm JSC","Baby Joy, Charm, Lifree, Mamy Poko, Moony, Sofy","Baby Joy,  Charm,  Lifree,  Mamy Poko,  Moony,  Sofy",,www.unicharm.co.jp,,Japan,Publicly traded,JP: 8113,Personal Care Products/Appliances,Consumer Goods,,2320000000000.0,,641650000000.0,JPY,14933490000.0,5998453890.0,9/17/2018,,,,,,,,,,,,No,Yes,Yes,Potential,3.0,,5.0,3.0,,2/13/2019 5:22:08 PM,,,"Market cap, annual revenue, finance year"
568,4330,,Wolverine World Wide,"No commitment, has exposure",,Jonathan,,11/30/2016,12 Month,11/30/2017,,"Hush Puppies, Merrell, Bates, CAT Footwear, Chaco, Grasshoppers, Hytest Safety Footwear, Sebago, Saucony, Stride Rite, Sperry Top-Sider, Keds",,,,www.wolverineworldwide.com,,United States,Publicly traded,NYSE: WWW,Footwear,Consumer Goods,,2290000000.0,,2690000000.0,USD,2290000000.0,2690000000.0,11/30/2016,,,,,,,,,,,,No,No,No,No,0.0,,2.0,1.0,,1/26/2019 2:15:04 AM,,,
574,4336,2574.0,Woolworths Group,Yes,yes,Philip,2016.0,9/4/2018,9 Month,3/29/2018,Woolworths Holdings,,"A L H Group, Big W, BWS, Cellarmaster's, Countdown, Dan Murphy's, Ezibuy, Langton's, Masters, Mimco, Petrol, Studio W, Thomas Dux, Trenery, Witchery, Woolworths Proprietary Ltd., WOW","A L H Group,  Big W,  BWS,  Cellarmaster's,  Countdown,  Dan Murphy's,  Ezibuy,  Langton's"," Masters,  Mimco,  Petrol,  Studio W,  Thomas Dux,  Trenery,  Witchery,  Woolworths Proprietary Ltd.,  WOW",www.woolworthslimited.com.au,,Australia,Publicly traded,AU: WOW,Food Retailers & Wholesalers,Retail/Wholesale,,33230000000.0,,58280000000.0,AUD,23339688640.0,40934007040.0,6/29/2017,woolworths,,,,,,,,,,,No,Yes,Yes,No,3.0,,8.0,3.0,,2/13/2019 5:22:08 PM,,,
575,4337,2575.0,Woolworths Holdings,Yes,Yes,Luke,2018.0,9/16/2018,6 Month,12/29/2017,,"Country Road Group, David Jones, Wolworths (Proprietary) Limited",,,,www.woolworthsholdings.co.za/,,South Africa,Publicly traded,South Africa: WHL,Mixed Retailing,Retail/Wholesale,,53810000000.0,,68590000000.0,ZAR,4007274590.0,3993145000.0,9/16/2018,,,,,,,,,,,,Yes,Yes,Yes,Yes,6.0,,7.0,8.0,,1/26/2019 2:15:04 AM,,,"Market cap, annual revenue, finance year"
582,29,2109.0,AAK AB,yes,yes,Jonathan,2016.0,8/28/2017,9 Month,5/28/2018,,"AAK Kamani, Oasis Foods Company, California Oils Corporation",Aarhus Karlshamn AB,Aarhus Karlshamn AB,,www.aak.com,,Sweden,Publicly traded,SE:AAK,Food Products,Consumer Goods,,25310000000.0,,22060000000.0,SEK,2961168760.0,2580931760.0,8/28/2017,,,,,,,,,,,,No,Yes,No,No,1.0,,3.0,2.0,,2/13/2019 5:22:08 PM,,,
583,30,,AAK Kamani,No - profiled under parent,no,Jonathan,,8/28/2017,12 Month,8/28/2018,AAK AB,,,,,www.kamani.com,,India,Publicly traded,Subsidiary,Food Products,Consumer Goods,,,,,,,,,KamaniOils,,,,,,,,,,,No,Former,No,No,0.0,,2.0,0.5,,1/26/2019 2:14:34 AM,,,
588,35,2235.0,AB Agri,yes,yes,Jonathan,2017.0,3/28/2017,9 Month,12/28/2017,Associated British Foods,"Frontier (50%), AgroKorn","AB Vista, abagri China, Abconnect, New Ventures","AB Vista,  abagri China,  Abconnect,  New Ventures",,www.abagri.com,,United Kingdom,Publicly traded,Subsidiary,Farming,Business/Consumer Services,,,,,,,,,,,,,,,,,,,,Yes,Yes,No,No,2.0,,1.0,2.0,,2/13/2019 5:22:08 PM,,,
591,38,,AB Mauri,No - profiled under parent,,Jonathan,,3/28/2017,12 Month,3/28/2018,Associated British Foods,"Cerefrom, Yeast Products, GB Plange UK, Mauri Products",,,,www.abmauri.com,,United Kingdom,Publicly traded,Subsidiary,Food Products,Consumer Goods,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,1.0,,1/26/2019 2:14:34 AM,,,
619,487,2498.0,Beiersdorf,yes,yes,Jonathan,2016.0,3/28/2017,9 Month,12/28/2017,,,"Aquaphor, Eucerin, Hansaplast, Laprairie, Nivea","Aquaphor,  Eucerin,  Hansaplast,  Laprairie,  Nivea",,www.beiersdorf.com,,Germany,Publicly traded,Xetra: BEI,Personal Care Products/Appliances,Consumer Goods,,22200000000.0,,6750000000.0,EUR,24107668200.0,7330034250.0,3/28/2017,Beiersdorf_AG,,,,,,,,,,,No,Yes,yes,No,3.0,,5.0,2.0,,2/13/2019 5:22:08 PM,,,
620,488,,Beijing Hualian Group,"No commitment, has exposure",no,An,,8/27/2018,12 Month,7/31/2018,,,Beijing Hualian Department Store,Beijing Hualian Department Store,,en.beijing-hualian.com,,China,Publicly traded,CN: 000882,Mixed Retailing,Retail/Wholesale,,7090000000.0,,1060000000.0,CNY,1464317920.0,172004080.0,08/31/2018,,,,,,,,,,,,No,No,No,No,0.0,,0.0,2.0,,2/13/2019 5:22:08 PM,,,"Market cap, annual rev"
623,491,1279.0,BEL Group,yes,yes,Nathan,2016.0,1/30/2019,6 Month,7/29/2018,,Safilait,"Babybel, Boursin, Fromageries Bel SA, Kiri, La Vachequirit, Leerdammer, The Laughing Cow","Babybel,  Boursin,  Fromageries Bel SA,  Kiri,  La Vachequirit,  Leerdammer,  The Laughing Cow",,www.bel-group.com/,,France,Publicly traded,FR: FBEL,Food Products,Consumer Goods,Yes,3340000000.0,Yes,2210000000.0,EUR,3627009540.0,3192637140.0,1/30/2019,belcorporate,,,,,,,,,,,Yes,Yes,Yes,No,4.0,,2.0,2.0,,2/13/2019 5:22:08 PM,,,"revenue, market cap, twitter"
635,698,2610.0,California Oils Corporation,Yes,Yes,Jonathan,,8/28/2017,12 Month,8/28/2018,AAK AB,,,,,www.caloils.com,,United States,Publicly traded,Subsidiary,Food Products,Consumer Goods,,,,,,,,,,,,,,,,,,,,,Yes,,,1.0,,0.0,0.5,,1/26/2019 2:14:34 AM,,,
641,888,2241.0,Colruyt Group,yes,yes,Jonathan,2016.0,3/7/2017,9 Month,12/7/2017,,"Colruyt, Bio Planet, Symeta (formerly Druco), Dreamland, DreamBaby, Dream, Okay","Boni Selection, Dreambee, Eco-Select, Etablissements Fr. Colruyt, Everyday, Graindor, Kangourou","Boni Selection,  Dreambee,  Eco-Select,  Etablissements Fr. Colruyt,  Everyday,  Graindor,  Kangourou",,www.colruytgroup.com/en,,Belgium,Publicly traded,Bruzzels:COLR,Food Retailers & Wholesalers,Retail/Wholesale,,6740000000.0,,4660000000.0,EUR,7319174940.0,5060438460.0,3/7/2017,colruytgroup,,,,,,,,,,,Yes,Yes,Yes,No,3.0,,5.0,2.0,,2/13/2019 5:22:08 PM,,,
650,897,2569.0,Companhia Brasileira de Distribuicao GPA,Yes,Yes,Philip,2018.0,6/21/2017,9 Month,3/21/2018,Casino Group,"P\E3o de A\E7\FAcar, Extra Supermercado, Extra Hiper, Minimercado Extra, Minuto P\E3o de A\E7\FAcar, Aliados","Aliado Compre Bem, Assai Atacadista, Bambini, Carasdo Brasil, CAST, Confraria, Confraria Gourmet, Econobom, Finlandek, GPA Malls, Qualita, Taeq, Viavarejo","Aliado Compre Bem,  Assai Atacadista,  Bambini,  Carasdo Brasil,  CAST,  Confraria,  Confraria Gourmet,  Econobom"," Finlandek,  GPA Malls,  Qualita,  Taeq,  Viavarejo",www.gpari.com.br,,Brazil,Publicly traded,Bovespa: PCAR4,Food Retailers & Wholesalers,Retail/Wholesale,,19400000000.0,,41450000000.0,BRL,4798900400.0,10253320700.0,6/21/2017,,,,,,,,,,,,No,No,No,Yes,1.0,,0.0,1.75,,2/13/2019 5:22:08 PM,,,
666,1106,,Delhaize Group,No longer exists,,Jonathan,2016.0,3/14/2017,-,,,,"AB City, AB Food Market, Food Lion, Hannaford, Maxi, Proxy, Redmarket, Shop & Go, Super Indo, Tempo, Tom & Co","AB City,  AB Food Market,  Food Lion,  Hannaford,  Maxi,  Proxy,  Redmarket,  Shop & Go"," Super Indo,  Tempo,  Tom & Co",www.delhaizegroup.com,,Belgium,Publicly traded,BE: DELB,Food Retailers & Wholesalers,Retail/Wholesale,,9540000000.0,,24400000000.0,EUR,10359781740.0,26496716400.0,5/2/2016,DelhaizeBelgium,,,,,,,,,,,No,Former,Former,No,0.0,,10.0,0.0,,2/13/2019 5:22:08 PM,,,
681,1320,2508.0,Estee Lauder Companies,yes,Yes,Jonathan,2017.0,4/11/2017,9 Month,1/11/2018,,,"Aerin, Aramis, Aveda, Bobbi Brown, Bumbleand Bumble, Bumbleandbumble, Clinique, Danna Karan, Darphin, Ermenegildo Zegna, Frederic Malle, Glamglow, Good Skin Labs, Jo Malone London, Kiton, La Mer, Lab Series, Le Labo, M-A-C, Mami, Michael Kors, Ojon, Origins, Osiao, Prescriptives, Rodinoliolusso, Smashbox, Tom Ford, Tommy Hilfiger, Tory Burch","Aerin,  Aramis,  Aveda,  Bobbi Brown,  Bumbleand Bumble,  Bumbleandbumble,  Clinique,  Danna Karan"," Darphin,  Ermenegildo Zegna,  Frederic Malle,  Glamglow,  Good Skin Labs,  Jo Malone London,  Kiton,  La Mer,  Lab Series,  Le Labo,  M-A-C,  Mami,  Michael Kors,  Ojon,  Origins,  Osiao,  Prescriptives,  Rodinoliolusso,  Smashbox,  Tom Ford,  Tommy Hilfiger,  Tory Burch",www.elcompanies.com,,United States,Publicly traded,US:EL,Personal Care Products/Appliances,Consumer Goods,,31040000000.0,,11260000000.0,USD,31040000000.0,11260000000.0,4/11/2017,EsteeLauder,,,,,,,,,,,No,Yes,No,No,1.0,,6.0,1.0,,2/13/2019 5:22:08 PM,Yes,,
727,2127,2396.0,J Sainsbury,Yes,yes,Luke,2017.0,4/25/2017,6 Month,10/25/2017,,"Sainsbury's Supermarket, Sainsbury's Convenience Stores, Argos, Habitat, Home Retail Group, Sainsbury's Bank",,,,www.j-sainsbury.co.uk,,United Kingdom,Public,SBRY,Food Retailers & Wholesalers,Retail/Wholesale,,7050000000.0,,28460000000.0,GBP,8555126580.0,33846039500.0,9/7/2018,SainsburysNews,,,,,,,,,,,Yes,Yes,Yes,Yes,5.0,,18.0,7.5,,1/26/2019 2:14:40 AM,,,"HQ country, publicly traded, ticker, market cap, revenue"
729,2129,2603.0,J. Front Retailing,Yes,yes,Philip,2018.0,7/29/2017,Predictable,Predictable,,"Daimaru Matsuzakaya Department Store, Parco co. ltd.",,,,www.j-front-retailing.com/english,,Japan,Publicly traded,Tokyo: 3086,Mixed Retailing,Retail/Wholesale,,424520000000.0,,1110000000000.0,JPY,3581675240.0,9365070000.0,7/29/2017,,,,,,,,,,,,No,No,Yes,No,1.0,,0.0,0.0,,1/26/2019 2:14:40 AM,,,
759,2543,145.0,Marfrig,Yes,yes,Philip,2016.0,9/24/2018,6 Month,9/2/2017,,"Keystone Foods, Marfrig Beef","Aberdeen Angus, Albertvan Zoonen, Bassi, Bernina, British Races, GJ, Hamby, Jamie Oliver, La Morocha, Lea Castle, Mc Key, Meatex, Montana, O' Kane, Palatare, Pampeano, Patagonia, Pemmican, Tacuarembo, The' Kane, Viva Grass Fed Beef","Aberdeen Angus,  Albertvan Zoonen,  Bassi,  Bernina,  British Races,  GJ,  Hamby,  Jamie Oliver"," La Morocha,  Lea Castle,  Mc Key,  Meatex,  Montana,  O' Kane,  Palatare,  Pampeano,  Patagonia,  Pemmican,  Tacuarembo,  The' Kane,  Viva Grass Fed Beef",www.marfrig.com.br,,Brazil,Publicly traded,BR:MRFG3,Food Products,Consumer Goods,,3910000000.0,,18890000000.0,BRL,967201060.0,4672743740.0,3/2/2017,MarfrigConosur,,,,,,,,,,,Yes,No,Yes,Yes,4.0,,10.0,5.0,,2/13/2019 5:22:08 PM,,,
777,2851,2402.0,Nomad Foods Europe,Yes,yes,Jonathan,2016.0,10/20/2016,12 Month,10/20/2017,Nomad Foods,"Birds Eye, Iglo, Findus",Iglo Group,Iglo Group,,www.iglo.com,,United Kingdom,Publicly traded,Subsidiary,Food Products,Consumer Goods,Subsidiary,,,1435000000.0,EUR,,1558310985.0,1/1/2015,,,,,,,,,,,,No,Yes,No,Former,2.0,,4.0,1.0,,2/13/2019 5:22:08 PM,,,
822,3431,,Royal KPN,No exposure,,Philip,,2/19/2016,-,,,,"Ortel Mobile, Simyo, XS4ALL","Ortel Mobile,  Simyo,  XS4ALL",,corporate.kpn.com,,Netherlands,Publicly traded,Amsterdam: KPN,Wired Telecommunications Services,Telecommunication Services,,14600000000.0,,7010000000.0,EUR,15854592600.0,7612376310.0,2/19/2016,,,,,,,,,,,,,,,,0.0,,0.0,2.0,,2/13/2019 5:22:08 PM,,,
828,3437,192.0,Ruchi Soya,Yes,yes,Jonathan,2016.0,11/4/2016,Predictable,Predictable,Ruchi Group,"Ruchi Industries, Ruchi Agritrading","Mahakosh, Nutrelam, Sunrich","Mahakosh,  Nutrelam,  Sunrich",,www.ruchisoya.com,,India,Publicly traded,Bombay: 500368,Food Products,Consumer Goods,,7650000000.0,,299920000000.0,INR,113663700.0,4456211360.0,11/4/2016,ShahraDinesh,,,,,,,,,,,No,Yes,No,No,1.0,,3.0,2.0,,2/13/2019 5:22:08 PM,,,
845,3855,1954.0,Suntory,yes,Yes,An,2016.0,9/5/2018,9 Month,1/14/2018,,"Beam Suntory, Florigene, Frucor",Orangina,Orangina,,www.suntory.com,,Japan,Publicly traded,Tokyo: 2587,Non-Alcoholic Beverages/Drinks,Consumer Goods,,1400000000000.0,,1230000000000.0,JPY,12318020000.0,11896170000.0,8/6/2018,SuntoryGlobal,,,,,,,,,,,No,No,Yes,No,1.0,,0.0,2.0,,2/13/2019 5:22:08 PM,,,"Market cap, annual rev"
856,4092,,Tumi,"No commitment, has exposure",,Jonathan,,11/30/2016,12 Month,11/30/2017,Samsonite,,,,,www.tumi.com,,United States,Publicly traded,Subsidiary,Travel & Leisure,"Apparel & Luxury Goods, Textiles",Subsidiary,,No,,,,,,Tumitravel,,,,,,,,,,,No,No,No,No,0.0,,0.0,0.0,,1/26/2019 2:15:04 AM,,,
857,4093,,Tunas Baru Lampung,Notes included,,Philip,,7/7/2016,-,,Sungai Budi Group,,,,,PT Tunas Baru Lampung Tbk,,Indonesia,Publicly traded,,,,,,,4600000000000.0,IDR,0.0,331200000.0,,,,,,,,,,,,,,,,,0.0,,4.0,1.0,,1/26/2019 2:15:04 AM,,,
866,4102,2764.0,Tyson Foods,Yes,Yes,Laura,2016.0,9/10/2018,9 Month,6/27/2017,,"Tyson Fresh Meats inc., Hillshire Brands","Aidells, Ball Park, Chef Pierre Pies, Gallo Salame, Golden Island Premium Jerky, Jimmy Dean, Kahns, State Fair","Aidells,  Ball Park,  Chef Pierre Pies,  Gallo Salame,  Golden Island Premium Jerky,  Jimmy Dean,  Kahns,  State Fair",,www.tysonfoods.com,,United States,Publicly traded,NYSE: TSN,Food Products,Consumer Goods,,22640000000.0,,38150000000.0,USD,27350000000.0,41440000000.0,2017,TysonFoods,,,,,,,,,,,No,Yes,Yes,No,2.0,,7.0,5.0,,2/13/2019 5:22:08 PM,,,"market capitalization, annual revenue, finance year"
868,4289,237.0,Weyerhaeuser,Yes,yes,An,2016.0,10/9/2018,6 Month,7/30/2018,,Plum Creek Timber,,,,www.weyerhaeuser.com,,United States,Publicly traded,NYSE: WY,Specialty REITs,Real Estate/Construction,,23370000000.0,,7190000000.0,USD,27980000000.0,6360000000.0,07/27/2018,WoodbyWY,,,,,,,,,,,No,No,Yes,No,1.0,,3.0,3.0,,1/26/2019 2:15:04 AM,,,"Market cap, annual rev"
869,4290,,WH Group,"No commitment, has exposure",,Philip,,11/28/2016,12 Month,11/28/2017,,Smithfield Foods,"Armour, Carando, Cook's, Curly's, Eckrich, Farmland, Gwaltney, Healthy Ones, John Morrell, Kretschmar Shuanghui International, Margherita, Smithfield","Armour,  Carando,  Cook's,  Curly's,  Eckrich,  Farmland,  Gwaltney,  Healthy Ones"," John Morrell,  Kretschmar Shuanghui International,  Margherita,  Smithfield",www.wh-group.com,,Hong Kong,Publicly traded,Hong Kong: 0288,Food Products,Consumer Goods,,92450000000.0,,13048000000.0,HKD,11883338100.0,1677163824.0,6/30/2015,,,,,,,,,,,,,,,,0.0,,2.0,0.0,,2/13/2019 5:22:08 PM,,,
874,4295,2557.0,WhiteWave Foods,Yes,yes,Jonathan,2017.0,8/18/2017,9 Month,5/18/2018,Danone,DanoneWave,"Alpro, Earthbound Farm, Horizon Organic, International Delight, Land O' Lakes, Provamel, Silk, So Delicious, Wallaby Organic Yogurt","Alpro,  Earthbound Farm,  Horizon Organic,  International Delight,  Land O' Lakes,  Provamel,  Silk,  So Delicious",Wallaby Organic Yogurt,www.whitewave.com,,United States,Publicly traded,subsidiary,Food Products,Consumer Goods,,,,3870000000.0,USD,0.0,3870000000.0,10/28/2016,WhiteWaveFoods,,,,,,,,,,,Yes,Yes,Yes,No,3.0,,5.0,2.0,,2/13/2019 5:22:08 PM,,,
896,45,2236.0,Abengoa,Yes,yes,Jonathan,2017.0,2/22/2018,Predictable,Predictable,,"Abengoa Bioenergy, Teyma Forestal",,,,www.abengoa.com,,Spain,Publicly traded,Madrid: ABG,Construction,Real Estate/Construction,,239920000.0,,1510000000.0,EUR,260536565.52,1639755810.0,2/22/2018,Abengoa,,,,,,,,,,,No,No,Yes,No,1.0,,0.0,1.0,,1/26/2019 2:14:40 AM,,,
906,55,,Accenture,No exposure,No,Philip,,12/28/2015,-,,,,,,,www.accenture.com,,Ireland,Publicly traded,NYSE: ACN,Business Support Services,Business/Consumer Services,,65450000000.0,,,USD,65450000000.0,0.0,,,,,,,,,,,,,No,No,No,No,0.0,,0.0,2.0,,1/26/2019 2:14:40 AM,,,
912,260,1893.0,Anadalu Efes,yes,yes,Jonathan,2016.0,3/23/2017,9 Month,12/23/2017,,Efes Beverage Group,"Anadolu Efes Biracilik Ve Malt Sanayii AS, Anadolu Etap","Anadolu Efes Biracilik Ve Malt Sanayii AS,  Anadolu Etap",,www.anadoluefes.com,,Turkey,Publicly traded,Istanbul: AEFES,Alcoholic Beverages/Drinks,Consumer Goods,,11880000000.0,,10420000000.0,TRY,3957631920.0,3471256280.0,3/23/2017,,,,,,,,,,,,No,No,Yes,No,1.0,,0.0,1.0,,2/13/2019 5:22:08 PM,,,
921,269,2558.0,Anglo-Eastern Plantations,Yes,yes,Laura,2016.0,10/30/2018,6 Month,7/29/2018,Genton International,,,,,www.angloeastern.co.uk,,United Kingdom,Publicly traded,UK: AEP,Farming,Agriculture,,227510000.0,,226670000.0,GBP,437852530.57,262803694.79,2017,PT_anglo,,,,,,,,,,,No,Yes,No,No,1.0,,3.0,0.0,,1/26/2019 2:14:34 AM,,,"market capitalization, annual revenue, finance year"
933,521,2499.0,Bertelsmann,yes,Yes,Jonathan,2016.0,3/23/2017,12 Month,3/23/2018,,,"arvato Bertelsmann, BMG, G+J, Penguin Random House, RTL Group","arvato Bertelsmann,  BMG,  G+J,  Penguin Random House,  RTL Group",,www.bertelsmann.com,,Germany,Publicly traded,Frankfurt: BTG4,Publishing,Media/Entertainment,,1630000000.0,,17140000000.0,EUR,1770067530.0,18612857340.0,3/23/2017,Bertelsmann_com,,,,,,,,,,,No,No,Yes,No,1.0,,2.0,0.0,,2/13/2019 5:22:08 PM,,,
950,1046,2640.0,Dairy Crest Group,yes,yes,Jonathan,2016.0,9/25/2018,12 Month,10/18/2017,,MH Foods,"Cathedral, Clover, Country Life, Utterly Butterly, Vitalite, Willow","Cathedral,  Clover,  Country Life,  Utterly Butterly,  Vitalite,  Willow",,www.dairycrest.co.uk,,United Kingdom,Publicly traded,LON: DCG,Food Products,Consumer Goods,,892230000.0,,422300000.0,GBP,1285040503.11,608220531.1,10/18/2016,,,,,,,,,,,,No,Yes,No,No,1.0,,1.0,1.0,,2/13/2019 5:22:08 PM,,,
951,1047,,Dairy Farm International,"No commitment, has exposure",no,Philip,,9/11/2018,12 Month,1/28/2019,Jardine Matheson Group (78%),"Cold Storage, GCH Retail, Maxim's (50%)","Dairy Farm, Dairy Farm International Holdings","Dairy Farm,  Dairy Farm International Holdings",,www.dairyfarmgroup.com,,Hong Kong,Publicly traded,SGX: D01,Food Retailers & Wholesalers,Retail/Wholesale,,11620000000.0,,11200000000.0,USD,11620000000.0,11200000000.0,1/28/2018,,,,,,,,,,,,No,No,No,No,0.0,,0.0,1.0,,2/13/2019 5:22:08 PM,,,
955,1051,2641.0,Daito Trust Construction Co.,yes,yes,An,2016.0,12/18/2018,9 Month,8/9/2017,,"Daito Construction Co., Ltd, Daito Farm Co., Ltd., Juicy Publishing Co.",,,,www.kentaku.co.jp/e,,Japan,Publicly traded,JP:1878,Heavy Construction,Real Estate/Construction,,1150000000000.0,,1560000000000.0,JPY,11474320000.0,11896170000.0,10/30/2018,,,,,,,,,,,,No,No,Yes,No,1.0,,6.0,1.0,,1/26/2019 2:14:46 AM,,,market cap + annual rev
956,1052,2513.0,Daiwa House Industry Co.,Yes,yes,Jonathan,2016.0,4/24/2017,12 Month,4/24/2018,,,,,,www.daiwahouse.co.jp/English/index.html,,Japan,Publicly traded,Tokyo: 1925,Home Construction,Real Estate/Construction,,2160000000000.0,,3190000000000.0,JPY,18223920000.0,26914030000.0,4/24/2017,,,,,,,,,,,,No,No,Yes,No,2.0,,2.0,0.0,,1/26/2019 2:14:46 AM,,,
967,1211,2026.0,Eagle High Plantations,yes,yes,Philip,2016.0,6/26/2017,Predictable,Predictable,Rajawali Group (65%),PT Varia Mitra Andalan,Green Eagle,Green Eagle,,www.eaglehighplantations.com,,Indonesia,Publicly traded,ID: BWPT,Farming,Agriculture,,7697000000000.0,,2540000000000.0,IDR,554184000.0,182880000.0,6/25/2017,ehplantationsir,,,,,,,,,,,No,Yes,No,No,1.0,,6.0,1.0,,2/13/2019 5:22:08 PM,,,
980,1432,,Fidelity National Information Services,No exposure,,Kelley,,6/18/2015,-,,,,,,,www.fisglobal.com,,United States,Publicly traded,NYSE:FIS,Financial Administration,Business/Consumer Services,,17820000000.0,,,USD,17820000000.0,0.0,6/16/2015,,,,,,,,,,,,No,No,No,No,0.0,,0.0,0.0,,1/26/2019 2:14:46 AM,,,
