PublicOrPrivate,CompanyName,HeadquarterCountry,TickerSymbol,FinancesCurrency
Publicly traded,Nippon Paper Group,Japan,Tokyo: 3863,JPY
Publicly traded,Nippon Suisan Kaisha,Japan,Tokyo: 1332,JPY
Publicly traded,Pearson,United Kingdom,UK : PSON,GBP
Publicly traded,SABMILLER,United Kingdom,London: SAB,GBP
Publicly traded,SIGMAXYZ,Japan,Tokyo: 6088,JPY
Publicly traded,Sime Darby,Malaysia,MY: SIME,MYR
Publicly traded,Sumitomo Forestry Co.,Japan,JP : 1911,JPY
Publicly traded,TSH Resources Berhad,Malaysia,,
Publicly traded,Tsuruha Holdings,Japan,Tokyo: 3391,JPY
Publicly traded,Wing on Department Stores,Hong Kong,Hong Kong: 0289,HKD
Publicly traded,Wipro,United States,Bombay: 507685,INR
Publicly traded,WM Morrison Supermarkets,United Kingdom,UK: MRW,GBP
Publicly traded,Orkla,Norway,NO: ORK,NOK
Publicly traded,PT Agro Bukit,Indonesia,Subsidiary,
Publicly traded,PT Agro Wana Lestari,Indonesia,Subsidiary,
Publicly traded,Robinsons Retail Holdings,Philippines,Manila: RRHI,PHP
Publicly traded,Strauss Group,Israel,TASE: STRS,ILS
Publicly traded,Travis Perkins Group,United Kingdom,UK: TPK,GBP
Publicly traded,Weis Markets,United States,NYSE: WMK,USD
Publicly traded,Wendy's,United States,Nasdaq:WEN,USD
Publicly traded,GVFI,Switzerland,,
Publicly traded,Tiffany & Co.,United States,NYSE: TIF,USD
Publicly traded,VF Outdoors ,United States,NYSE: VFC,USD
Publicly traded,VINX CORP.,Japan,Tokyo: 3784,JPY
Public,Arata,Japan,,JPY - Japanese Yen
