CompanyId,CompanyName,TickerSymbol,FinancesCurrency,MarketCapitalizationInUsd,FinancesCurrentAsOf
2210,Kajima Corporation,1812-JP,JPY,6190842801,2/14/2019
2214,Kameda Seika,2220-JP,JPY,851124560,3/23/2016
2218,Kao Corporation,4452-JP,JPY,32144970000,2017
2436,Life Corporation,8194-JP,JPY,1474618860,6/14/2017
2549,Marks & Spencer,MKS-GB,GBP,6250715380,9/17/2018
167,AKITA,8343-JP,JPY,623831780,12/29/2015
361,ASOS,ASC-GB,GBP,8627139430,8/31/2017
370,Associated British Foods,ABF-GB,GBP,30216591860,3/28/2017
882,Coles Supermarkets,Subsidiary,AUD,0,
1068,Danone,BN-FR,EUR,42774822090,2017
1464,Fonterra,FCG-NZ,NZD,6575025320,2018
1661,Goodhope Asia Holdings,Subsidiary,,,
2271,Kingspan Group,KRX-IE,EUR,6113791530,4/26/2017
2274,Kirin Holdings,2503-JP,JPY,21683090000,2017
2278,Klabin,KLBN11-BR,BRL,6174255360,3/29/2018
2280,KLM (Royal Dutch Airlines),KLMR-US,EUR,2139284070,10/31/2018
2638,Microsoft,MSFT-US,USD,452750000000,8/30/2016
2878,Novozymes,NZYM B-DK,DKK,10749488530,11/30/2016
3084,Pioneer Foods,PFG-ZA,ZAR,2112066540,7/24/2017
3300,PZ Cussons,PZC-GB,GBP,1973152090,3/8/2017
3306,QL Resources Berhad,QL-MY,,,8/9/2017
3566,Sealed Air,SEE-US,USD,8570000000,10/21/2016
3728,Softbank Group Corp.,9984-JP,JPY,75089300000,2018
4197,Verso Corporation,VRS-US,USD,191210000,4/20/2017
4200,VF Corporation,VFC-US,USD,29160000000,3/15/2018
4424,Test Company,,,,2003
4428,Amazon,AMZN-US,USD - US Dollar,,07/26/2018
2409,Lenzing,LNZ-AT,EUR,3464119890,10/17/2018
2561,Marubeni,8002-JP,JPY,9702550000,4/27/2017
2712,Mulberry Company (Design),MUL-GB,GBP,963488725.3,11/30/2016
2893,Obrascon Huarte Lain (OHL),OHL-ES,EUR,1455147540,11/14/2018
2899,Office Depot,ODP-US,USD,1832000000,1/21/2018
3140,Premium Fats,Subsidiary,,,
3142,Premium Vegetable Oils,Subsidiary,,,
3285,PTT PLC,PTT-TH,THB,26890866600,6/16/2015
3291,Puma,PUM-DE,EUR,5407936380,10/25/2018
3486,Sampoerna Agro,SGRO-ID,IDR,0,8/9/2017
3690,SLC Agricola,SLCE3-BR,,,5/19/2017
3910,Taisei Corporation,1801-JP,JPY,7727701410,9/14/2016
4123,Unilever,NYSE: UN,EUR,103467505680,4/22/2018
4124,Unilever NV,NYSE: UN,USD,728800000000,10/26/2016
4130,Uni-President Enterprises,1216-TW,TWD,9400833960,11/29/2016
4348,X5 Retail Group,FIVE-GB,USD,4530000000,7/8/2016
2827,Nike,NKE-US,USD,88510000000,9/20/2018
3000,Paltac,8283-JP,JPY,2059049850,6/13/2017
3594,Seven & I Holdings Co.,3382-JP,JPY,33916740000,10/21/2016
3601,SGS SA,SGSN-CH,,,
3789,Staples,Nasdaq: SPLS,USD,6710000000,8/29/2017
3791,Starbucks Coffee Company,SBUX-US,USD,82610000000,9/30/2018
3802,Stella McCartney,Subsidiary,GBP,,6/15/2017
4037,Toppan Printing Co.,7911-JP,JPY,5830135740,12/28/2018
4278,Wesfarmers,WES-AU,AUD,32428330560,6/26/2017
4286,Westpac,WBC-AU,AUD,27132475840,7/22/2015
4287,WestRock,WRK-US,USD,13870000000,11/05/2018
4477,Multifood,,,,
317,Argos,Subsidiary,GBP,,1/1/2010
543,BillerudKorsnas,BILL-SE,SEK,3091034320,8/23/2017
547,Bio Inti Agrindo,Subsidiary,KRW - South Korean Won,,
705,Campbell's,CPB-US,USD,13100000000,3/19/2018
715,CAPGEMINI,CAP-FR,EUR,14801239530,3/21/2016
1124,Deutsche Post DHL Group,DPW-DE,EUR,42829118640,6/25/2017
1130,Dharma Satya Nusantara,DSNG-ID,IDR,0,
1131,DHL,Subsidary,EUR,,
1132,Diageo,DGE-GB,GBP,87826871860,2/28/2018
1421,Feronia,FRN-CA,CAD,53824023.17,2017
1645,Godrej Consumer Products,GODREJCP-IN,INR,8488969720,4/24/2017
1646,Godrej Group,Subsidiaries,INR,11092239900,4/24/2017
1647,Godrej Industries,GODREJIN-IN,INR,2603270180,4/24/2017
1648,Golden Agri-Resources,GODREJAG-IN,USD,5010000000,11/13/2018
1853,Heineken International,HEIA-NL,EUR,55263028590,7/29/2017
2044,INGLES MARKETS,IMKTA-US,USD,760270000,9/14/2016
2229,Kato Sangyo,9869-JP,JPY,1171730560,3/29/2018
2489,LVMH - Moet Hennessy Louis Vuitton,MC-FR,EUR,129073758660,10/28/2018
2495,M.P. Evans Group,MPE-GB,,,8/9/2017
3447,S & B Foods,2805-JP,JPY,635727950,3/29/2018
3626,Shiseido Company,4911-JP,JPY,9111960000,9/27/2016
